@relation amp_5_occupancy-detection

@attribute time-index numeric
@attribute Temperature numeric
@attribute Humidity numeric
@attribute Light numeric
@attribute CO2 numeric
@attribute HumidityRatio numeric
@attribute Occupancy numeric

@data
64,21.89,30.356667,429,805.333333,?,1
65,21.89,30.315,429,796.5,0.004927,1
66,21.89,30.2,?,795,0.004908,1
67,21.89,30.34,429,793.5,0.004931,1
68,21.89,30.295,429,790.5,0.004924,1
69,21.89,30.29,429,786.5,0.004923,1
70,21.89,30.39,429,794.333333,0.00494,1
71,21.89,30.365,429,795.5,0.004935,1
72,21.89,30.426667,414,792.666667,0.004946,1
73,21.89,30.73,424,798,?,1
74,21.89,30.4175,429,795.5,0.004944,1
75,21.89,30.39,429,797.75,0.00494,?
76,21.89,30.39,429,798,0.00494,1
77,21.89,30.445,429,802,0.004949,1
78,21.89,30.356667,421.5,797.5,0.004934,1
79,21.89,30.323333,429,791.5,0.004929,1
80,?,30.32,418.75,788.25,0.004928,1
81,21.89,30.39,429,792.25,0.00494,1
82,21.89,30.39,429,795.5,0.00494,1
83,21.89,30.365,429,793.5,0.004935,1
84,?,30.23,429,789.333333,0.004913,1
85,21.89,30.2,429,786,0.004908,1
86,21.89,30.0225,429,771.75,0.004879,1
87,21.89,29.96,429,760,0.004869,1
88,21.89,29.9175,429,756,0.004862,1
89,21.89,30.1,429,754,0.004892,1
90,21.89,30.15,416.5,759,0.0049,1
91,21.89,?,?,756.666667,0.004898,1
92,21.89,30.47,438,764.25,0.004953,1
93,21.89,30.166667,441,768,0.004903,1
94,21.89,30.075,438,?,0.004888,1
95,21.89,30.125,438,766.25,0.004896,1
96,21.89,30.175,438,767.75,0.004904,1
97,21.89,30.295,438,777,0.004924,1
98,21.89,30.2,441,775.333333,0.004908,1
99,?,30.2,436.333333,768,0.004908,1
100,21.865,30.15,438,766.75,0.004893,1
101,21.89,30.075,438,772.5,0.004888,1
102,21.89,30.0725,435.5,774.75,0.004888,1
103,21.89,30.03,435,766.333333,?,1
104,21.89,29.9175,434.5,752,0.004862,?
105,21.89,30.1,430.5,754,0.004892,1
106,21.89,30.1,441,755,0.004892,1
107,21.89,30.075,431,763.25,0.004888,1
108,21.89,30.1975,425,769.5,0.004908,1
109,21.89,30.23,?,769.333333,0.004913,1
110,21.9175,30.5475,395.25,772.25,0.004974,1
111,21.963333,?,426.666667,784.666667,0.005028,1
112,21.9725,?,424.75,?,0.004933,1
113,22,30.175,423.5,794.25,0.004938,1
114,21.945,30.245,423.5,791,?,1
115,21.926667,30.29,426.666667,791.333333,0.004934,1
116,21.9725,30.175,428.25,793.25,0.004929,1
117,21.89,30.245,433,787.5,0.004916,1
118,21.926667,30.356667,433,789,0.004945,1
119,21.945,30.1725,?,782.75,0.004921,1
120,21.9175,30.34,428.25,783.5,0.00494,1
121,21.926667,30.29,426.666667,791,0.004934,1
122,21.9175,30.2925,428.25,786,0.004932,1
123,21.9175,30.27,433,786.5,0.004928,1
124,21.926667,30.196667,?,786.333333,0.004919,1
125,21.89,30.34,428.25,786.333333,0.004931,1
126,?,30.34,433,787.666667,0.004948,1
127,21.945,30.39,433,?,0.004956,1
128,21.89,30.365,433,791.75,0.004935,1
129,21.89,30.39,433,788,0.00494,1
130,21.9175,30.4725,433,797.75,0.004961,1
131,21.9175,30.39,433,801.75,0.004948,1
132,?,30.5,433,803.5,0.004974,1
133,21.89,30.4725,433,811,0.004953,1
134,21.89,30.426667,433,803.666667,0.004946,1
135,21.9725,30.5,433,?,0.004983,1
136,21.945,30.5,433,804,0.004974,1
137,21.9725,30.4175,433,807,0.004969,?
138,21.945,30.3675,433,801.75,0.004953,1
139,21.9725,30.4725,433,?,0.004978,1
140,21.926667,30.533333,433,807,0.004974,1
141,21.9725,30.55,433,823.75,0.004991,1
142,?,?,433,818,0.004952,1
143,21.956,30.458,433,807.5,?,1
144,21.9175,30.5,433,814,0.004966,1
145,21.963333,30.39,433,804.25,0.004962,1
146,21.945,30.445,433,805,0.004965,1
147,21.945,?,433,805.75,0.004958,1
148,21.945,30.3425,433,799.25,0.004948,1
149,22,30.445,433,797,0.004982,1
150,21.9725,30.4175,433,798.25,0.004969,?
151,22,30.2,433,?,0.004942,1
152,21.926667,30.326667,423.666667,780.666667,0.00494,1
153,21.9725,30.365,433,782.75,0.004961,1
154,21.89,30.39,426,787,0.00494,1
155,21.89,30.245,426,790.5,0.004916,1
156,21.89,30.3175,429.5,782.25,0.004928,1
157,21.89,30.196667,423.666667,778,0.004908,1
158,21.89,30.2475,?,?,0.004916,1
159,21.89,30.133333,428.333333,773.333333,0.004898,?
160,21.89,30.175,419,766.25,0.004904,1
161,?,30.125,?,756.25,0.004896,1
162,21.89,30.175,419,751.333333,0.004904,1
163,21.89,30.033333,419,746.5,0.004881,1
164,21.89,29.8675,419,740.5,0.004854,1
165,21.84,29.84,419,735,0.004835,1
166,21.89,29.89,419,719,0.004858,1
167,21.815,29.84,419,718,0.004827,1
168,21.823333,29.856667,419,716,0.004832,1
169,21.84,29.84,419,712.25,0.004835,1
170,21.815,?,419,?,0.004823,1
171,21.84,29.795,419,702,0.004827,1
172,21.823333,29.823333,419,702,0.004827,1
173,21.815,29.7475,419,695.75,0.004812,1
174,21.79,29.73,419,686.666667,0.004802,1
175,21.815,29.55,419,679.75,0.00478,1
176,21.79,29.5,419,674,0.004764,1
177,21.79,29.3675,419,669.25,0.004743,1
178,21.79,29.745,419,667.5,0.004804,1
179,21.815,29.6725,419,679,0.0048,1
180,21.79,29.6,419,678,0.004781,1
181,21.84,29.55,419,674,0.004787,1
182,21.79,29.4725,419,666.5,0.00476,1
183,21.79,29.34,419,665.666667,0.004738,1
184,21.89,29.29,?,648.666667,0.004759,1
185,21.84,29.315,419,643.25,0.004749,1
186,21.89,29.29,419,635,0.004759,1
187,21.865,29.29,419,636.25,0.004752,1
188,?,29.34,419,636.25,0.004768,1
189,21.89,29.29,419,639,0.004759,1
190,21.856667,29.433333,419,640.333333,0.004773,1
191,21.89,29.2675,419,639.75,?,1
192,21.89,29.245,419,638.5,0.004752,1
193,21.89,29.42,415.5,643.5,0.004781,1
194,21.89,29.7725,415,648,0.004838,1
195,21.89,29.7475,419,656.75,0.004834,1
196,21.89,29.456667,419,655.666667,0.004787,1
197,21.89,29.2675,419,646.75,0.004756,1
198,21.89,29.29,419,643,0.004759,1
199,21.89,?,?,639,0.00475,?
200,21.89,29.2,419,633.5,0.004745,1
201,21.865,29.125,419,631,0.004725,1
202,21.89,29.125,419,626,0.004732,1
203,21.815,28.9725,419,614.75,0.004686,1
204,21.79,28.89,419,606,0.004665,1
205,21.823333,28.856667,419,603,0.004669,1
206,21.79,28.79,419,600.75,0.004649,1
207,21.79,28.695,419,601,0.004633,?
208,21.79,28.633333,419,601.666667,0.004623,1
209,21.79,28.7225,419,597.25,0.004638,1
210,21.79,28.6475,419,596.5,0.004626,1
211,21.79,28.533333,419,596.666667,0.004607,1
212,21.79,28.525,419,595.25,0.004606,1
213,21.79,28.42,419,588.5,0.004589,1
214,21.79,28.55,419,585,0.00461,1
215,21.7675,28.5,419,585.75,0.004595,1
216,21.7,28.445,412,584.5,0.004567,1
217,?,28.5,279.333333,585,0.004576,1
218,21.7,28.566667,0,582,0.004587,0
219,21.7,28.76,0,578,0.004618,?
220,21.7,28.79,0,584,0.004623,0
221,21.7,28.79,0,586.5,0.004623,0
222,21.7,28.84,0,587.5,0.004631,0
223,21.7,28.86,0,586,0.004634,0
224,21.7,28.86,0,592.333333,0.004634,0
225,21.7,28.79,0,590,0.004623,0
226,21.6,28.895,0,590,0.004612,0
227,21.633333,28.79,0,590.5,0.004604,0
228,21.6,28.73,0,593.5,0.004585,0
229,21.6,28.79,0,595,0.004595,0
230,21.6,28.79,0,?,0.004595,?
231,21.55,28.79,0,593,0.004581,0
232,?,28.79,0,582.5,0.004595,0
233,21.6,?,0,579.5,0.004595,0
234,21.6,28.79,0,588,0.004595,0
235,21.5,28.84,0,?,0.004575,0
236,21.5,28.823333,0,622.333333,0.004572,0
237,?,28.79,0,606,0.004567,0
238,21.5,29.6,0,605,0.004696,0
239,21.5,28.995,0,?,0.004599,0
240,21.39,29.015,0,604.25,0.004571,?
241,21.39,?,0,596,0.00464,0
242,21.39,29.2,0,612,0.004601,0
243,21.39,29.1,0,720.5,0.004585,0
244,21.323333,29.33,0,1760,0.004602,0
245,21.29,29,0,1665,0.004541,0
246,21.29,29.03,0,1255.666667,0.004546,0
247,21.29,29.2,0,724,0.004572,0
248,21.29,29.1,0,619,0.004557,0
249,21.29,29.9,0,?,0.004683,0
250,21.29,29.926667,0,582,0.004687,0
251,21.29,29.8,0,616,0.004667,0
252,21.245,29.55,0,648.5,0.004615,0
253,21.2,29.5,0,673,0.004594,0
254,21.2,30.1,0,608,0.004688,0
255,21.2,29.6,0,752,0.00461,0
256,21.2,30.45,0,621.5,0.004743,0
257,21.2,30,0,589.333333,0.004673,0
258,21.2,29.9,0,608.5,0.004657,?
259,21.2,29.945,0,620,0.004664,0
260,21.2,29.495,0,598.5,0.004593,0
261,21.2,29.64,0,640.5,0.004616,0
262,?,29.963333,0,695,0.004667,0
263,21.2,29.89,0,670,0.004655,0
264,21.2,29.79,0,619,0.00464,0
265,21.2,29.76,0,571.666667,0.004635,0
266,21.2,29.995,0,533.5,0.004672,0
267,21.166667,29.996667,?,618.666667,0.004662,0
268,21.2,30.2,0,?,0.004704,0
269,21.15,31.05,0,515,0.004822,0
270,21.15,29.8,0,513.5,0.004627,0
271,21.15,29.645,0,520,0.004603,0
272,21.1,29.65,0,527.5,0.004589,0
273,21.1,29.45,0,526,0.004558,0
274,21.1,29.663333,0,526.333333,?,0
275,21.1,29.795,0,528,0.004612,0
276,21.1,29.89,0,524,0.004627,0
277,21.1,29.695,0,524.5,0.004596,0
278,21.1,29.896667,0,521.333333,0.004628,0
279,21.1,?,0,524,0.004643,0
280,21.1,29.945,0,522.5,0.004635,0
281,21.1,29.79,?,526,0.004611,0
282,21.05,29.75,0,520,0.00459,0
283,21.1,30.29,0,526,0.004689,0
284,21.1,29.39,0,530,0.004549,0
285,21.1,29.6,0,529,0.004581,0
286,21.1,29.34,0,529,0.004541,0
287,21.1,29.745,0,527,0.004604,?
288,21.1,29.393333,0,530,0.004549,0
289,21.1,30.05,0,526,0.004652,0
290,21.075,29.5,0,526,0.004559,0
291,21.1,29.5,0,526,?,0
292,21.1,30.09,0,531.5,0.004658,0
293,21.1,30.1,0,534,0.004659,0
294,21,29.495,0,533,0.004537,0
295,21.1,29.445,0,521.333333,0.004557,0
296,21.1,29.645,0,523.5,0.004588,?
297,21.1,30.1,0,521,0.004659,0
298,21,29.945,0,522,0.004607,0
299,21.1,29.6,0,520,0.004581,?
300,21.025,?,0,520.5,0.004641,0
301,21,30,0,520,0.004615,0
302,?,29.53,?,523.666667,0.004542,0
303,21,29.55,?,520,0.004545,0
304,21,29.195,0,524.5,0.00449,0
305,21,29.53,0,519.333333,0.004542,0
306,21,29.445,0,519,0.004529,0
307,21,30.1,0,520,?,?
308,21,29.945,0,?,0.004607,0
309,21,29.8,0,?,0.004584,0
310,21,30.066667,0,537,0.004625,0
311,21,29.766667,0,542.333333,0.004579,0
312,21,29.5,0,548,0.004538,0
313,21,29.995,0,545.5,0.004614,0
314,21,29.926667,0,549.666667,0.004604,0
315,21,29.495,0,562,0.004537,?
316,21,?,0,583,0.004538,0
317,21,29.4475,0,552,0.004529,0
318,21,29.696667,0,540,0.004568,0
319,21,29.445,0,527.333333,0.004529,0
320,21,29.4,0,523.333333,0.004522,0
321,21,29.495,0,517,0.004537,0
322,21,30.06,0,517.333333,0.004624,0
323,21,30,0,513,0.004615,0
324,21,29.995,0,511,0.004614,0
325,21,29.56,0,513,0.004547,0
326,?,29.35,0,513,0.004514,0
327,21,29.9,0,512.333333,0.0046,0
328,21,29.8,0,510.5,0.004584,0
329,20.926667,?,0,512,0.004531,0
330,20.945,29.445,0,509,0.004514,0
331,20.945,29.6,0,502.5,0.004538,0
332,21,29.55,0,503,0.004545,0
333,21,29.6,0,502,0.004553,0
334,21,29.2,0,502,0.004491,0
335,21,29.23,0,500,0.004496,0
336,21,29.745,0,504,0.004576,0
337,21,29.245,0,506.5,0.004498,0
338,21,30.09,0,497,?,0
339,20.9725,30.0475,0,493.5,0.004615,0
340,20.945,30.4,0,494.5,0.004661,0
341,20.926667,30.093333,0,499.666667,?,0
342,20.926667,29.83,?,498.333333,0.004568,0
343,20.89,30.29,0,498,0.004628,?
344,20.89,29.35,0,499,0.004484,0
345,20.89,29.763333,0,501.666667,0.004547,0
346,?,30,0,499,0.004599,0
347,?,29.6175,0,492.25,0.004525,0
348,20.89,29.79,0,495,0.004551,0
349,20.89,29.92,0,492,0.004571,0
350,20.89,29.3,0,494.5,0.004476,0
351,20.89,29.5,0,499,0.004507,0
352,20.89,29.593333,0,497.333333,0.004521,0
353,20.89,29.7,0,493,0.004538,0
354,?,29.79,0,491.5,0.004551,0
355,20.89,29.7675,?,?,0.004548,0
356,?,29.495,0,492,0.004506,0
357,20.89,30.42,0,486,0.004648,0
358,20.89,29.6,0,488,0.004522,0
359,20.856667,29.626667,0,491.333333,0.004517,?
360,20.89,29.495,0,491,0.004506,0
361,20.89,29.35,0,491,0.004484,0
362,20.89,29.5,0,496,0.004507,0
363,20.89,29.29,0,500,0.004474,0
364,20.79,29.166667,0,495.666667,0.004428,0
365,20.89,29.65,0,489,0.00453,0
366,20.89,29.65,0,?,0.00453,0
367,20.79,29.5,0,489,0.004479,0
368,20.856667,29.533333,0,495,0.004503,?
369,20.823333,30.126667,0,494,0.004584,0
370,20.79,29.296667,0,495.5,0.004448,0
371,20.84,30.045,0,495,0.004576,0
372,20.79,29.545,0,493.5,0.004486,0
373,20.79,29.495,0,494,0.004478,0
374,20.79,29.29,0,?,0.004447,0
375,20.79,29.395,0,486,0.004463,0
376,?,?,0,485,0.004594,0
377,?,29.34,?,490,0.004454,0
378,20.79,?,0,488,0.004448,0
379,20.76,29.563333,0,484.666667,0.00448,0
380,20.79,30.096667,0,?,0.00457,0
381,20.79,29.89,0,487.5,0.004539,?
382,20.79,29.89,0,493,0.004539,0
383,20.79,29.795,0,496.5,0.004524,0
384,20.79,30.05,0,490,0.004563,0
385,20.79,29.85,0,493.5,0.004532,0
386,20.79,29.45,0,489,?,0
387,20.79,29.83,0,486.333333,0.004529,0
388,20.79,29.445,?,486.5,0.00447,0
389,20.79,29.39,0,486,0.004462,0
390,20.79,29.55,0,?,0.004487,0
391,20.79,29.39,?,486,0.004462,0
392,20.79,30.2,0,?,0.004586,0
393,20.79,29.793333,0,489.333333,0.004524,0
394,20.79,29.39,0,488.5,0.004462,0
395,20.79,29.245,0,488,0.00444,0
396,20.79,29.05,0,493,0.00441,?
397,20.79,29.2475,0,489,0.00444,0
398,20.79,30.6,0,486,0.004647,0
399,20.79,29.79,0,486.666667,0.004523,0
400,20.745,29.545,0,490.5,?,0
401,20.79,29.945,0,487.5,0.004547,0
402,20.79,30.045,0,488,0.004562,0
403,20.79,29.59,0,494,0.004493,0
404,20.79,29.495,0,?,0.004478,0
405,20.79,?,0,487.5,0.004548,0
406,20.79,29.795,0,489.5,?,0
407,20.7,29.79,0,488,0.004498,0
408,20.7,29,0,488,0.004378,0
409,20.79,29.495,0,492,0.004478,0
410,20.79,29.33,0,488,?,0
411,?,29.2,0,486,0.004433,?
412,20.79,29.84,0,489,?,0
413,20.76,29.426667,0,488.333333,0.004459,0
414,?,29.52,0,487.5,?,0
415,20.79,29.5,0,489,0.004479,0
416,20.79,28.895,0,495,0.004386,0
417,20.7,29.145,0,492,0.0044,0
418,20.7225,29.67,0,488.75,0.004486,0
419,?,29.356667,0,491,0.004432,0
420,20.745,29.39,0,492.5,0.00445,0
421,?,29.29,0,486,0.004434,0
422,20.7,29.39,0,495,0.004437,0
423,20.7,29.34,0,494.5,0.00443,0
424,20.7,28.65,0,495,0.004325,0
425,20.7,28.9,0,496,0.004363,0
426,20.7,29.6,0,490.5,0.004469,?
427,20.7,29.695,0,492,0.004484,0
428,20.7,28.645,0,485,0.004324,0
429,20.7,29.263333,0,490.333333,0.004418,0
430,20.7,29.29,0,489,0.004422,0
431,20.7,29.996667,0,490,0.00453,0
432,?,29.496667,0,493.333333,0.004453,0
433,20.7,29.2,0,488,0.004408,0
434,?,29.13,0,490.666667,0.004398,0
435,20.7,28.7225,0,489,0.004336,0
436,20.7,29.026667,0,487,0.004382,0
437,?,29.545,0,490.5,0.004461,0
438,20.7,28.895,0,494,0.004362,0
439,20.7,28.895,0,494.5,0.004362,0
440,20.7,29.195,0,486,0.004408,0
441,20.7,?,0,488.5,0.004439,0
442,?,29.945,0,?,0.004522,0
443,20.7,29.445,0,491.5,0.004446,?
444,20.7,29.195,0,489,0.004408,0
445,?,?,0,491.5,?,0
446,20.7,29.3,0,489,0.004424,0
447,20.7,28.995,0,492.5,0.004377,0
448,20.7,29.045,0,491,0.004385,0
449,20.7,29.35,0,485,0.004431,0
450,20.7,28.745,0,488,0.004339,0
451,20.7,28.495,0,489.5,0.004301,0
452,20.7,?,0,486.333333,?,0
453,20.7,28.2,0,487,0.004256,0
454,20.6,28,0,487,0.0042,0
455,20.7,28.8,0,491.5,0.004348,0
456,20.7,28.29,0,487,0.00427,0
457,20.633333,28.996667,0,487,?,0
458,20.6,28.195,0,488,0.004229,0
459,20.6,28.33,0,486.333333,0.00425,0
460,20.6,?,0,486,0.00426,0
461,20.6,28.1,0,487,0.004215,0
462,20.6,28.495,0,497,0.004275,0
463,20.6,29,0,498,0.004351,?
464,20.6,28.945,0,?,0.004343,0
465,20.6,28.79,0,496.5,0.004319,0
466,20.6,28.033333,0,487,0.004205,0
467,20.5,27.995,0,486.5,0.004173,0
468,20.5,27.895,0,491.5,0.004158,0
469,20.5,28.59,0,489,0.004262,0
470,20.533333,28.023333,0,488,0.004186,0
471,20.5,27.79,0,487,0.004142,0
472,20.5,27.79,0,488,0.004142,0
473,20.55,28.195,0,488.5,0.004216,0
474,20.5,28.096667,0,495,?,0
475,20.5,27.963333,0,499.333333,0.004168,0
476,20.55,28.1,0,?,0.004202,0
477,?,28.245,0,489,0.004224,0
478,20.55,?,0,489.5,0.004216,0
479,20.5,27.79,0,486,0.004142,0
480,?,28.096667,0,490.333333,0.004188,0
481,20.5,?,0,488,0.004129,0
482,20.5,28.16,0,484.666667,0.004198,0
483,20.5,27.73,0,491.666667,0.004133,0
484,20.5,28.7,0,492,0.004279,0
485,20.5,28.445,0,488.5,0.004241,0
486,20.533333,28,0,489.333333,0.004182,0
487,20.6,27.9,0,490,0.004185,0
488,?,27.6,0,491.5,0.004127,0
489,20.55,28.04,0,493.5,0.004193,0
490,20.5,28.895,0,491,0.004308,0
491,20.5,?,0,498.5,0.004203,0
492,20.5,28.145,0,486,0.004196,0
493,20.566667,29.03,0,489.333333,0.004346,0
494,20.6,28.1,0,488,0.004215,0
495,?,27.95,0,489.5,0.004192,0
496,20.6,?,0,488,0.004176,0
497,20.6,?,0,493.5,0.00426,0
498,20.6,27.995,0,497.5,0.004199,0
499,20.65,28.495,0,496.5,0.004288,0
500,?,28,?,493,0.0042,0
501,20.6,28.29,0,492,0.004244,0
502,20.6,27.84,0,491.5,0.004176,0
503,?,27.763333,0,494,0.004164,0
504,20.6,27.745,0,493,0.004161,?
505,20.6,27.945,0,492,0.004192,0
506,20.6,27.945,0,493.5,0.004192,0
507,20.6,28.1,0,497,0.004215,0
508,20.6,28.29,0,499,0.004244,0
509,20.6,27.695,?,501,0.004154,0
510,20.6,28.1475,0,498.25,0.004222,0
511,20.6,28.29,0,498,0.004244,0
512,20.6,28.03,0,498,0.004204,0
513,20.6,27.53,?,495,0.004129,0
514,20.6,27.7,0,493,?,0
515,20.6,27.995,0,494.5,0.004199,0
516,20.6,27.295,0,495,0.004093,0
517,20.6,27.495,0,494.5,0.004124,0
518,20.7,27.79,0,500,0.004194,0
519,20.65,27.59,0,499.5,0.004151,0
520,20.6,27.563333,0,497.666667,0.004134,0
521,20.65,27.95,0,489.5,0.004205,0
522,20.6,27.4,0,490,0.004109,0
523,20.6,?,0,?,0.004168,0
524,20.6,27.445,0,497.5,0.004116,0
525,20.6,27.79,0,503,0.004168,0
526,20.6,28.5,0,502,0.004275,0
527,20.6,27.363333,0,497.666667,0.004104,0
528,20.6,?,0,498,0.004049,0
529,20.6,27.2,0,499,0.004079,0
530,20.65,27.34,0,495.5,0.004113,0
531,20.7,27.65,0,497.5,0.004173,0
532,20.65,27.695,0,497,0.004167,0
533,20.6,27.53,0,495.666667,0.004129,0
534,20.6,27.226667,0,495.666667,0.004083,0
535,20.6,?,0,498,0.004168,0
536,20.633333,27.096667,0,497,0.004072,0
537,20.6,26.84,?,498,0.004025,0
538,20.6,26.896667,0,500,0.004033,0
539,20.6,27.195,0,497,0.004078,0
540,20.6,27.745,0,499,?,0
541,20.6,27.566667,0,499.333333,0.004134,0
542,20.55,27.495,0,498.5,0.004111,0
543,20.55,27.445,0,502.5,0.004103,0
544,20.6,26.895,0,501,0.004033,0
545,20.55,27.55,0,499,0.004119,0
546,20.6,27.245,0,504.5,0.004086,0
547,20.6,27.496667,0,508,0.004124,0
548,20.566667,27.093333,0,501.333333,0.004055,0
549,20.55,26.995,0,502.5,0.004036,0
550,20.6,27.04,0,502,?,0
551,20.6,27.04,0,504.666667,0.004055,0
552,20.6,27.245,0,506.5,0.004086,0
553,20.6,26.65,0,508,0.003996,0
554,20.55,26.85,0,505.5,0.004014,0
555,20.6,26.8,0,502.333333,0.004019,0
556,20.6,27.166667,0,500,0.004074,0
557,20.6,26.89,0,498,0.004032,?
558,20.55,27.39,0,503,0.004095,0
559,20.6,26.996667,0,502.333333,0.004048,0
560,20.6,27.363333,0,500.333333,0.004104,0
561,20.6,26.7,0,499,0.004004,0
562,20.6,26.496667,0,507.666667,0.003973,0
563,20.6,27,0,504,0.004049,0
564,20.6,26.89,0,505,0.004032,0
565,20.6,26.5,0,505,0.003973,0
566,20.55,26.795,0,506.5,0.004005,0
567,20.6,26.763333,0,506,0.004013,0
568,20.6,26.5,0,505,0.003973,0
569,20.6,27.15,0,504,0.004071,0
570,20.6,26.85,0,509,0.004026,0
571,20.6,26.793333,0,505.666667,0.004018,0
572,20.6,27.145,?,508,0.004071,0
573,20.6,27.2,0,506,0.004079,0
574,20.566667,27.156667,0,499,0.004064,0
575,20.575,27.0425,0,504.666667,0.004049,0
576,20.6,26.84,0,508.666667,0.004025,0
577,20.6,26.6,0,510.5,0.003988,0
578,20.6,26.65,0,?,0.003996,0
579,20.55,26.79,0,504,0.004005,?
580,20.6,26.545,0,506,0.00398,0
581,20.6,?,0,507,0.003958,0
582,20.6,26.8,0,508.5,0.004019,0
583,20.6,26.73,0,?,0.004008,0
584,20.6,26.89,0,?,0.004032,0
585,20.6,26.65,0,502,0.003996,?
586,20.6,26.5675,0,511,0.003984,0
587,20.6,27,0,514,0.004049,0
588,20.6,27.245,0,508,0.004086,0
589,20.6,26.59,0,506.5,0.003987,0
590,20.6,26.89,0,508,0.004032,0
591,20.6,26.6,0,?,0.003988,0
592,20.6,26.2,0,507,0.003928,0
593,20.6,26.15,0,511.5,0.003921,0
594,20.6,26.79,0,512,0.004017,0
595,20.6,26.77,0,515.25,0.004014,0
596,20.6,26.245,0,514,0.003935,0
597,20.6,26.7,0,513,0.004004,0
598,20.666667,26.26,0,516,?,0
599,20.65,26.35,0,516,0.003963,0
600,20.7,26.7,0,510,0.004028,0
601,20.7,26.7,0,510,0.004028,0
602,20.65,26.245,0,510.5,0.003947,0
603,20.6,27,0,516,0.004049,0
604,20.6,26.295,0,520,0.003942,0
605,20.6,26.545,0,518.666667,0.00398,0
606,20.6,26,0,516.5,0.003898,0
607,20.6,26,0,518,?,?
608,20.65,26,0,516.5,0.00391,0
609,20.6,26.2,0,?,0.003928,0
610,20.65,26.445,0,509.5,0.003977,0
611,20.666667,26.3,0,521,0.00396,0
612,20.65,26.245,0,513.333333,?,0
613,20.6,26.195,0,518,0.003927,0
614,20.6,26.495,0,521,0.003973,0
615,20.6,26.3,0,516.5,0.003943,0
616,20.6,26.096667,0,514,0.003913,0
617,20.6,26.1,0,518,0.003913,0
618,?,27,0,517,0.004049,0
619,20.6,26.293333,0,519,0.003942,0
620,20.6,26.55,0,521.5,0.003981,0
621,20.6,26.56,0,?,0.003982,0
622,20.6,26.1,0,524,0.003913,0
623,20.6,25.7,0,522,0.003853,0
624,20.6,25.79,0,523,0.003866,0
625,20.6,26.245,0,521.5,0.003935,0
626,20.6,26.145,0,524.5,0.00392,0
