@relation amp_5_istanbul-stock

@attribute time-index numeric
@attribute ISE-TL numeric
@attribute ISE-US numeric
@attribute SP numeric
@attribute DAX numeric
@attribute FTSE numeric
@attribute NIKKEI numeric
@attribute BOVESPA numeric
@attribute EU numeric
@attribute EM numeric

@data
18,0.034567,0.035871,0.033007,0.044182,0.023748,0.005594,0.038725,0.029974,0.022104
19,-0.020528,-0.020272,-0.033681,-0.020256,-0.024774,0.017723,?,-0.023109,0.000409
20,-0.008777,-0.023458,-0.023053,-0.020479,-0.009713,-0.031666,-0.008538,-0.007201,0.002243
21,-0.025919,-0.035607,-0.000533,-0.015637,-0.017454,-0.015134,-0.016289,-0.019739,-0.019091
22,0.015279,0.022403,0.01571,0.02404,0.021039,-0.006175,0.027574,0.017862,0.012719
23,0.018578,0.023231,-0.007518,0.026577,0.015275,0.026908,0.009565,?,0.015166
24,-0.014133,-0.014571,0.016233,0.003932,0.000071,-0.011169,0.024128,-0.004139,0.002073
25,0.036607,0.042759,0.026541,0.029306,0.014788,0.015846,0.039282,0.019127,0.032338
26,0.011353,0.021468,0.001484,0.004766,0.003651,-0.013411,-0.015462,0.005627,0.007895
27,-0.040542,-0.043907,-0.050369,-0.03517,-0.022182,-0.002902,-0.02144,-0.024388,-0.002139
28,-0.022106,-0.033893,0.007923,0.005434,0.005019,-0.030745,-0.008799,0.001097,-0.007926
29,?,-0.020825,0.001738,-0.027421,-0.00761,0,-0.008482,-0.014092,-0.014773
30,0.007027,0.009709,-0.010048,0.001322,-0.003003,0.009563,0.028551,0.003032,0.017764
31,-0.011495,-0.024629,-0.046629,-0.045614,-0.013166,?,0.003999,-0.012722,-0.00685
32,-0.041136,-0.050687,0,0,-0.024656,-0.013596,-0.04883,-0.030935,-0.038323
33,-0.002631,-0.012101,-0.000951,-0.002764,?,-0.014634,-0.004351,-0.003303,-0.003342
34,0.024655,?,-0.012097,0.002435,0.002891,0.003076,0.001411,0.002569,0.006764
35,-0.035841,-0.049776,-0.011479,-0.048747,-0.032706,-0.018869,-0.025879,-0.037924,-0.027294
36,0.017303,0.029566,-0.035315,-0.019673,-0.009923,-0.005438,-0.012554,-0.01216,0.009678
37,0.001725,?,0.03932,-0.010393,-0.008947,-0.014695,0,-0.009447,-0.011881
38,0.004976,?,-0.010715,-0.012798,0.008506,0.026161,0,-0.000994,?
39,0.000672,?,-0.015906,0.024757,0.017155,-0.000441,-0.001361,0.020903,-0.002331
40,-0.005892,-0.009518,-0.023846,-0.0254,-0.022078,0.014706,0.000079,-0.018261,-0.00615
41,-0.013689,-0.031324,-0.047742,-0.035395,-0.054816,-0.038833,-0.052365,?,-0.035365
42,0.002193,0.004123,-0.006427,-0.005229,-0.031861,?,0.00641,-0.020299,0.00129
43,0.007913,0.002723,0.023475,0.052829,0.037389,0.008435,?,0.036548,0.030312
44,-0.038522,-0.043382,-0.043463,-0.051538,-0.032334,0.01936,-0.027268,-0.037465,-0.008672
45,0.007959,-0.019235,0.001215,-0.0079,0.000227,-0.035658,-0.00709,-0.011172,?
46,-0.007133,-0.016437,-0.010074,0.006963,0.003308,-0.012213,-0.009858,?,-0.005558
47,0.011234,0.021883,0.061719,?,0.047628,-0.004391,0.054398,0.050459,0.02491
48,?,0.024432,0.002443,0.006953,-0.005777,0.044514,0.000258,0.00395,0.012816
49,0.010974,0.002742,0.039921,0.010704,0.004942,-0.02441,0.008902,0.009801,0.005419
50,0.003213,0.034067,0.007709,-0.000662,0.011144,0.05026,-0.003505,0.006194,0.018689
51,0.000214,0.005609,-0.003522,0.022741,0.028961,0.017661,-0.010513,0.026678,0.010254
52,?,-0.01363,0.031634,-0.014136,-0.001787,0.031303,?,?,0.002689
53,0.001892,-0.000881,0.020643,0.002142,-0.0136,0.002894,0.015844,-0.004205,0.006013
54,0.019874,0.030889,-0.013064,0.011727,0.003123,-0.003293,0.007718,0.007028,0.009847
55,0.002919,-0.000952,-0.019967,0.006233,0.006789,0.033363,-0.009363,0.003375,-0.006654
56,0.035968,0.051331,0.068366,0.026109,0.028197,0,0.05729,0.028379,0.044122
57,0.003298,0.011894,-0.020626,0.002628,-0.010503,0.032662,-0.022953,-0.003924,0.002296
58,0.021165,0.014858,0.00958,0.008544,-0.002867,-0.000979,0.007757,0.007126,?
59,-0.004968,0.000546,0.023053,0.008507,0.006364,0.018268,0.018724,0.004564,0.016418
60,0.011248,0.006408,-0.020525,-0.013192,-0.006723,-0.001084,-0.016143,-0.013192,-0.006731
61,-0.02178,-0.040577,-0.035439,-0.052331,-0.035505,-0.046369,-0.03038,?,-0.038564
62,0.024407,0.036217,0.013044,0.023665,0.042457,-0.015485,0.006693,0.033905,0.007834
63,0.006913,0.019587,0.016421,0.011273,0.007486,0.02945,0.025332,0.013131,0.015339
64,0.031402,0.052522,0.028322,0.058951,0.041934,0.043104,0.041074,0.0463,0.038506
65,-0.005247,0.010896,0.009685,0.0007,-0.023374,0.003441,0.014865,-0.013566,0.004312
66,0.000736,0.018613,-0.008367,-0.008055,-0.009024,?,-0.005059,-0.006639,0.004192
67,-0.010298,-0.035028,-0.024144,-0.006298,-0.015901,-0.002835,-0.007773,-0.010973,-0.005566
68,?,0.046046,0.011715,0.008161,?,-0.027296,0.008113,0.004576,-0.007501
69,0.031778,?,0.037347,0.030107,0.014717,0.036672,0.030252,0.02035,0.027696
70,0.010171,0.014649,0.00253,0,0.00133,0.005375,0.009898,0,0.005386
71,-0.013661,-0.018458,0,0,0,-0.004436,?,0,0.00588
72,-0.010111,-0.00922,-0.020269,0.014565,0,-0.009202,-0.012559,0.010411,0.007414
73,0.005789,-0.007272,0.012471,-0.001586,-0.005178,-0.011341,-0.003198,-0.005692,0.002711
74,0.041455,0.037114,0.015419,0.01303,0.021094,0.001406,0.016474,0.019679,0.002439
75,-0.002618,-0.006441,0.004957,0.014512,0.009772,0.017248,-0.005381,?,-0.005526
76,-0.030955,-0.043562,-0.043732,-0.041594,-0.025213,0.001926,-0.029821,-0.033145,-0.008358
77,0.004548,-0.013976,0.021029,0.003411,-0.000852,-0.024204,0.010188,0.000107,-0.007277
78,0.009656,0.017987,-0.007711,0.020403,0.010776,0.001832,0,0.014247,-0.000967
79,0.024517,0.041464,0.026531,?,0.030613,-0.002215,0.041114,0.019733,0.022915
80,-0.004163,-0.007766,-0.010118,0.004216,?,0.002105,-0.020564,0.001194,-0.018737
81,-0.012368,-0.021244,-0.002744,-0.018632,-0.017088,-0.027013,?,-0.016192,-0.013224
82,0.05198,0.073005,0.02138,0.020864,0.022497,0.038625,0.030223,0.021224,0.025812
83,0.029023,0.040498,-0.000951,0.013699,0.01283,0,0.001333,0.013364,0.016445
84,0.016261,0.015619,0.038689,0.027504,0.021724,0.061229,0.063792,0.015641,0.047805
85,0.025882,0.042492,-0.003799,-0.010132,0,0,0.005244,0.004722,0.004036
86,0.021061,0.01554,0.017255,0.005687,0.013649,0,0.016228,0.012729,?
87,-0.026273,-0.011693,-0.01329,-0.015821,0.0005,0,-0.02838,-0.005234,-0.002467
88,-0.001124,-0.005918,0.023784,0.022598,0.01431,0.005009,0.026378,0.016839,0.010331
89,-0.018541,-0.018413,-0.021747,-0.009609,-0.005979,0.002028,-0.008205,-0.011835,-0.005579
90,0.025757,0.020468,-0.000979,-0.002633,-0.002257,-0.016359,-0.012833,-0.004118,-0.002245
91,-0.006509,?,-0.027263,-0.026406,-0.021492,0.004494,-0.033274,-0.024443,-0.010674
92,0.008071,-0.008365,0.010298,?,0.007177,-0.026774,0.015633,0.004394,-0.011305
93,0.011703,0.019055,-0.011476,-0.000205,-0.003329,0.018661,-0.008918,0.002504,0.00816
94,0.005408,0.008295,0.029937,0.023873,0.022378,-0.024732,0.0489,0.021345,0.027348
95,?,0.061285,?,0.037813,0.004913,0.033289,-0.004245,0.017556,0.023405
96,-0.012,-0.012066,-0.0169,-0.027824,-0.02789,-0.008651,-0.022857,-0.020869,-0.017032
97,0.008431,0.00856,-0.001498,0.003683,0.004546,-0.004147,?,-0.00081,0.00213
98,0.011166,0.002812,0.025962,-0.000061,0.010573,0.01305,0.004892,0.001631,0.000841
99,-0.015573,-0.022049,0,0.01356,0,-0.003879,0.01997,0.00693,-0.005331
100,0.008801,0.006089,-0.019153,0.003038,0.001019,0.01365,-0.000946,0.003596,0.016361
101,?,-0.00947,0.015301,-0.013669,-0.00652,0.001336,0.02383,-0.00932,0.008583
102,-0.000515,0.017451,0.013483,0.001608,0.006905,0.007496,0.002956,0.002728,0.007761
103,0.028131,0.036776,0.02549,0.04002,0.01979,0.016172,0.023923,0.022989,0.029978
104,-0.007792,-0.010424,0.001981,0.000292,-0.006501,0.002741,-0.00896,0.000451,-0.006631
105,-0.022362,-0.020393,-0.013834,-0.017558,-0.021129,0.003842,?,-0.0192,-0.013027
106,-0.019172,-0.026503,0.011418,0.00203,0.000798,-0.007492,0.026093,0.001199,-0.001284
107,0.013947,0.014207,-0.002518,0.002412,0.011716,0.010192,-0.002303,0.006255,0.007195
108,-0.032006,-0.043297,-0.001011,-0.014345,-0.007553,0.009944,0.005403,-0.010088,-0.010537
109,0.004478,0.006671,0.003497,-0.001372,-0.000091,?,-0.008859,0.002248,-0.005149
110,0.017089,0.026713,?,0.010612,?,0.020697,0.004767,0.009564,0.019623
111,0.00968,0.006414,0.006093,0.011041,0.005641,-0.001017,0.002748,0.007608,?
112,0.002671,0.008682,0.001396,-0.007472,-0.00447,0.015359,0,-0.00336,-0.00218
113,-0.003624,?,-0.024056,-0.036011,-0.026461,-0.009531,-0.028868,-0.026608,?
114,-0.004441,-0.004116,-0.012802,0.000159,0.000601,-0.028982,-0.016041,-0.001898,-0.009453
115,0.001688,-0.002398,?,-0.018728,-0.011642,0.008979,-0.00313,-0.017037,-0.013276
116,0.031866,0.024441,0.008376,0.007782,0.000561,-0.014033,-0.002805,0.006533,-0.009828
117,0.002918,?,0.003109,0.000409,0.01507,0.00847,0.00921,0.01053,0.007505
118,-0.011589,-0.014241,-0.031078,-0.030646,-0.026086,0.00408,-0.037261,-0.028451,-0.011895
119,-0.014169,-0.024762,0.002304,0.002925,-0.000945,-0.028559,0.006424,-0.000397,-0.014677
120,0.024046,0.032322,0.006503,0.027007,0.011751,0.004254,-0.002855,0.021006,0.016992
121,0.015786,0.020041,0.021218,-0.007357,-0.006422,0.021228,0.036432,-0.006492,0.013359
122,0.01172,0.020945,?,-0.005031,-0.002731,0.008266,-0.000563,-0.002435,0.009896
123,0.002316,0.004539,0.009024,0.022486,0.01242,-0.009554,0.012584,0.016101,0.003009
124,0.00293,0.006462,-0.008567,-0.015773,-0.010488,0.017726,-0.012992,-0.009756,-0.006932
125,0.007997,0.008067,0.004352,0.01993,0.021305,-0.00186,0.001534,0.018997,0.01105
126,-0.005591,-0.002964,-0.029578,-0.038856,-0.024818,-0.006437,-0.01012,-0.026149,-0.004837
127,-0.006519,-0.011508,0.002562,-0.002181,0.000472,-0.006102,-0.001765,-0.00013,0.000864
128,-0.001053,-0.009725,?,-0.012049,?,-0.013869,-0.006164,?,-0.013955
129,0.012265,?,-0.01988,-0.011596,-0.001885,-0.003423,-0.023283,-0.005063,-0.002389
130,-0.00152,-0.009836,-0.00167,-0.00557,-0.01124,-0.023814,-0.005657,-0.011371,-0.007945
131,-0.004539,-0.00123,0.003541,0.012479,0.004458,-0.013862,0.000874,0.005714,0.003546
132,-0.005617,-0.008927,-0.00403,-0.011679,-0.007603,-0.000407,0,-0.010951,-0.003457
133,0.006074,0.003942,0.024628,0.031411,0.017985,-0.025845,-0.000691,0.020104,-0.013401
134,-0.008232,0.001961,0.005302,0.01249,0.008436,0.023098,-0.006404,0.009811,0.016832
135,0.032512,0.036042,0.029199,0.030228,0.02535,0.000803,0.048407,0.027037,0.027435
136,0.00637,0.010106,0.008605,0.005817,0.003514,0.008049,0.012033,0.004622,0.006022
137,-0.011324,-0.009282,-0.000383,?,0.006171,0.00546,0.002962,0.006393,0.010282
138,0.01378,0.024768,0.011367,0.010341,0.012409,0.026956,0.020585,0.010857,0.023092
139,-0.006357,-0.00542,0.003621,0.012608,0.008426,0,0.001485,0.007909,0.001526
140,0.004758,0.009434,-0.000534,0.005402,0.002786,0.007343,-0.003029,0.002757,-0.00471
141,0.018495,0.027708,0.023023,0.024251,0.014602,0.007151,0.021916,0.018131,0.016399
142,0.012604,?,0.003038,-0.003421,0.003678,0.015363,0.003827,0.000477,?
143,0.011236,0.015375,0.002977,0.004234,?,0.014387,0.001688,0.00359,0.009279
144,0.004036,0.008396,-0.00261,-0.014734,-0.012573,-0.000139,-0.001413,-0.009714,0.003495
145,0.009331,-0.000453,-0.004573,0.018302,0.004121,0.002572,-0.013622,0.006791,-0.013102
146,0.043745,?,0.011825,0.016996,0.018325,0.005126,0.013732,0.02026,0.01
147,0.010826,0.016194,0.00074,-0.005334,-0.005022,0.018675,0.005273,-0.002401,0.010756
148,0.04522,0.050339,0.015226,0.017606,0.015951,-0.000421,0.022246,0.013411,?
149,0.001854,?,0.003008,-0.001813,-0.002373,0.002175,0.000714,-0.002555,-0.003349
150,-0.017994,-0.016478,-0.002918,-0.011887,-0.005215,-0.011876,0.006155,-0.006187,-0.00486
151,-0.001445,-0.007076,-0.005641,0.003165,0.009296,0.013135,?,0.007142,0.001624
152,0.021028,0.012236,0.01335,0.016434,0.008724,0.002308,0.01026,0.01108,-0.002621
153,-0.001832,0.00429,-0.003351,-0.007509,-0.001989,0.010715,0.008837,-0.003177,0.004196
154,-0.022785,-0.03655,-0.012741,-0.024723,-0.010837,0.005798,-0.01899,-0.013444,-0.006117
155,0.004814,-0.004368,0.011459,0.012088,0.009693,-0.014316,0.014722,0.010513,-0.006398
156,0.013454,0.033336,0.006856,0.009491,0.008171,0.007846,0.008096,0.007872,0.013276
157,-0.004084,-0.007142,-0.008568,-0.01718,-0.008765,0.007591,-0.007213,-0.008325,-0.001427
158,-0.000271,-0.017896,-0.02456,?,-0.014745,-0.03151,-0.025391,-0.019253,-0.029772
159,-0.0013,0.006329,0.010095,0.009401,0.008745,0.001591,0.00957,0.009642,0.002853
160,0.031415,0.027861,0.006837,-0.003579,0.000832,-0.007903,0.007274,-0.000042,?
161,0.019757,0.026608,0.010889,0.015002,0.014165,0.01743,0.011948,0.014199,0.013297
162,0.013108,0.014661,0.018451,0.028159,0.019631,-0.014084,0.015678,0.023349,0.006813
163,0.012677,0.016468,-0.000546,0.010382,0.009295,0.032939,0.000797,0.010501,0.016066
164,0.006291,-0.000329,0.002367,0.006742,?,-0.007941,-0.006146,?,-0.001465
165,-0.023436,-0.026864,0.000117,-0.00634,?,0.013469,0.00599,-0.004106,?
166,0.008987,0.006307,0.002778,-0.009396,-0.004344,-0.0157,?,-0.004156,-0.006474
167,0.003706,?,-0.00199,0.008559,0.008079,0.005728,-0.000052,0.009243,0.005025
168,-0.021433,-0.025187,-0.008109,?,-0.018338,-0.003958,-0.021229,-0.006164,-0.012832
169,0.008224,0.007153,-0.022372,-0.024247,0,0.00357,-0.012003,-0.017968,0.003597
170,-0.025344,-0.031605,?,-0.001399,-0.000457,-0.023989,-0.007716,-0.005984,-0.008321
171,?,0.012507,0.008499,-0.003469,-0.004306,-0.006423,0.005779,-0.001466,0.008117
172,-0.021588,?,0.013032,0.015537,0.01138,-0.002699,0.016821,0.012773,0.009702
173,0.002509,0.010777,0.008806,0.01458,0.016659,0.013052,0,?,0.010026
174,-0.009497,-0.006659,0,0.003329,0.002854,0.00698,0.021013,0.002874,0.013929
175,-0.005834,-0.008672,0.007752,0.016739,0.011456,-0.007833,0.00095,0.010847,-0.002746
176,?,-0.002568,0.010368,0.003673,-0.003323,0.019354,0.010752,-0.001035,0.009234
177,0.036272,0.040761,-0.001351,0.005214,0.00476,-0.006617,?,0.00518,0.003606
178,-0.001995,-0.005214,0.006319,-0.000672,0.001476,-0.02347,0.008564,-0.000699,-0.008405
179,-0.012537,-0.004136,0.00313,0.001554,0.004612,0.001524,0.006704,0.004297,0.008323
180,0.016615,?,0.015207,0.012584,0.016132,0.005188,0.019169,0.014512,0.015813
181,0.006085,0.011543,-0.003064,0.005403,0.007757,0.016707,-0.002901,0.005445,0.005762
182,0.004157,0.000267,0.002634,-0.004777,0.001722,-0.007039,?,-0.000364,0.000412
183,0.008195,0.004859,-0.006979,-0.000312,-0.006497,0.016609,-0.003416,-0.002201,-0.004004
184,0.009024,0.008482,-0.009557,?,-0.011763,0,-0.007466,-0.014179,-0.010153
185,-0.007434,-0.012107,-0.006109,-0.004255,0.000571,-0.026742,0.005149,-0.002034,-0.000592
186,0.004002,0.000625,0.017653,0.027375,0.016296,-0.025299,0.015797,0.017615,-0.003192
187,0.011414,0.014048,-0.002232,-0.003981,-0.001162,0.009019,-0.001338,-0.001245,0.008962
188,-0.009442,-0.006065,-0.003334,-0.006737,-0.005013,?,0.004611,-0.004052,-0.000744
189,-0.002213,-0.006405,-0.026097,-0.021481,?,-0.015373,-0.017364,-0.017377,-0.003233
190,-0.020018,-0.026805,-0.004516,-0.015723,-0.011777,-0.025041,0.011724,-0.016213,-0.008741
191,0.023027,0.032178,0.014765,0.007461,0.007111,-0.005914,0.019379,0.008033,0.001992
192,0.031161,0.044574,0.013612,0.026651,0.022378,0.001788,0.00483,0.023523,0.013076
193,-0.00873,-0.009687,0.002708,?,-0.00568,0.011061,-0.000527,-0.004043,0.004296
194,0.017061,0.02276,0.007442,0.013347,0.008905,0.003349,0.017754,0.010893,0.007696
195,0.006746,0.004064,0.005625,-0.000816,0.001415,0.018533,0.004866,0.000092,0.006176
196,0.01552,0.015382,0.004377,0.012414,0.009314,0.005989,0.008934,0.010575,0.004344
197,-0.018431,-0.014092,-0.002792,-0.011989,-0.010826,0,0,-0.010316,0.000045
198,0.018884,0.026778,0.017394,0.024176,0.019597,-0.001624,0.023769,0.01987,0.016427
199,-0.000161,0.001926,0.004149,-0.004,-0.006317,0.017582,0.007554,-0.004118,0.001777
200,?,-0.034744,-0.008131,-0.015099,-0.0063,?,-0.007569,?,-0.006199
201,0.009915,0.010607,0.009361,0.01883,0.017438,-0.002054,0.015573,0.015949,0.010831
202,0.015078,0.018463,-0.006259,-0.006994,-0.00724,0.009753,-0.029215,-0.005859,-0.003248
203,0.004774,-0.00302,-0.008893,0.00373,0.002762,-0.000334,0.002798,0.001612,-0.002497
204,-0.005441,-0.009281,0.010587,-0.012169,-0.009651,-0.006429,0.009862,-0.010527,-0.005012
205,0.007106,0.01088,-0.012253,-0.003943,0.006737,0.00154,-0.016404,-0.000778,0.00392
206,-0.002935,-0.010122,-0.011786,-0.017236,-0.009756,0.007714,0.000415,-0.013986,0.000256
207,-0.016325,-0.026368,-0.003323,-0.001266,0.00179,-0.014597,-0.030022,0.00055,-0.01486
208,-0.030083,-0.03008,-0.019734,-0.024931,-0.023461,-0.013546,-0.048646,-0.021614,-0.025951
209,-0.03585,-0.036051,-0.006196,-0.014904,-0.007091,-0.004009,0.022744,-0.005098,-0.006025
210,0.005735,-0.001328,0.006436,0.002925,0.011824,-0.02337,0.017667,0.006416,-0.001536
211,-0.023907,-0.030118,0.002423,-0.014368,-0.013272,0.00421,0,-0.014107,-0.007353
212,0.020219,0.028041,0.001042,0.016834,0.013938,0,0.020071,0.016556,0.018558
213,0.000351,0.004522,0.019053,0.006717,0.003459,-0.012971,?,0.00645,0.002364
214,-0.006962,-0.001014,0.0025,0.001336,0.003331,0.007373,-0.005415,0.001381,0.00413
215,0.016986,0.022223,0.021995,0.023672,0.017827,0.002004,0.026754,0.019048,0.01784
216,0.007519,?,-0.000064,-0.001161,-0.000898,0.006275,0.001343,-0.002356,0.004411
217,0.015029,0.017689,0.005019,0.009777,0.006916,0.000096,0.001929,0.006481,0.007979
218,-0.002417,-0.006918,-0.010312,-0.000775,0.00184,-0.00683,-0.030305,-0.000106,-0.010682
219,-0.006259,-0.009045,?,0.00403,0.003764,-0.003492,0.013531,0.00193,0.002917
220,0.006859,0.010122,0.014364,0.020536,0.016163,0.002134,0.01972,0.014123,0.015693
221,-0.031914,-0.034907,0.000919,-0.004557,-0.00686,-0.006275,0.011624,-0.006569,0.000917
222,-0.017582,-0.016425,-0.000468,0.001587,-0.000711,-0.005475,-0.013292,0.000539,-0.001784
223,-0.006598,-0.013773,-0.013517,-0.014871,-0.014025,-0.013246,-0.002845,-0.015622,-0.005448
224,-0.019348,-0.022447,-0.00322,-0.006868,-0.003099,-0.005438,0.007241,-0.005852,?
225,0.012534,0.013944,0.013524,?,0.019629,-0.01017,0,0.020449,0.007985
226,-0.006306,-0.010004,?,-0.005561,-0.005899,?,0.007575,?,-0.004366
227,0.000553,0.006343,0.004494,0.005826,0.007634,0.004252,0.008874,0.005382,0.004212
228,?,-0.000839,-0.001595,-0.004561,-0.009853,0.013733,0.009219,-0.008318,-0.004416
229,0.038613,0.045764,0.000343,0.000877,0.002857,0.003831,0.001006,0.00287,0.005986
230,0.036468,0.042937,-0.008438,-0.001962,-0.002707,0.037656,-0.004382,-0.000073,0.003024
231,0.008514,0.011556,0.005494,?,0.001768,0.004492,-0.010462,0.007765,-0.000075
232,-0.003724,-0.011418,?,-0.005671,-0.002201,0.014365,0.013342,-0.003358,0.000403
233,-0.00652,-0.008669,-0.010304,-0.016764,-0.016633,-0.002672,-0.011494,-0.015215,-0.006007
234,-0.008229,-0.011447,0.003666,-0.007187,-0.003683,-0.013477,0.00417,-0.008469,-0.004479
235,0.008292,0.010238,0.005823,0.010774,0.007752,-0.014285,?,0.008987,0.003191
236,-0.004204,-0.000041,0.003676,0.008246,0.003274,0.024542,0.007812,0.003094,0.005524
237,0.016307,0.010667,0.006935,0.007954,0.010154,-0.000217,0.001183,0.00803,0.004325
238,0.00499,-0.000082,-0.005562,0.001564,-0.005565,-0.002199,-0.000548,-0.001427,-0.003227
239,0.007263,0.008528,0.001128,0.015722,0.006506,0.009272,-0.00999,0.010294,-0.001744
240,-0.016949,?,-0.011881,-0.010043,-0.019492,-0.001338,-0.022906,-0.013355,-0.009605
241,0.003501,0.002705,0.005813,-0.002266,?,-0.002142,-0.004094,-0.005558,-0.003679
242,0.02253,0.019354,0.010449,0.016889,0.018531,0.004076,-0.013096,0.015016,-0.003771
243,0.004895,0.003446,0.003557,0.002553,0.006533,0.018925,0.022394,0.007488,0.009237
244,-0.007211,-0.007541,0.002296,0.001974,0.008167,0.015194,0.002533,0.004135,0.007804
245,0.005817,0.013487,0.005242,0.007605,0.005569,0,0.00462,0.001825,0.004781
246,?,0.005091,0.001153,0,0.006494,-0.004014,0,0,0.00034
247,-0.000812,-0.001678,0,0,0,0.013207,0,0.003681,0.004142
248,0.003223,0.005817,-0.001402,0.001437,0,0.00036,0.005786,0.004186,-0.000191
249,-0.002274,-0.004334,0.000195,-0.009043,?,-0.00865,0.004266,-0.007468,0.000341
250,0.022138,0.034372,-0.0101,0.015138,0.002775,0.010221,0.02102,0.000784,0.006854
251,0.010229,0.014478,0.015916,0,0.016018,0,0,0.016778,0.008399
252,0.013898,0.024019,0.003111,-0.002722,0.004028,0.002535,0.00278,0.001316,0.008067
253,0.007957,0.005706,0.000545,0.000409,?,0.004635,0.006938,0.000586,0.00533
254,0.007772,?,0.003993,-0.002484,-0.000597,-0.00465,-0.003938,?,-0.006375
255,-0.003189,0.000835,0.002878,0.003027,0.001356,0.010862,?,0.003554,0.001229
256,-0.016131,-0.006033,0.001745,?,0.000704,0.007457,0.002417,-0.000498,0.005447
257,-0.004549,-0.004339,-0.009425,-0.016273,-0.00714,0,-0.005082,-0.009893,-0.003729
258,0.017559,0.021362,0.008291,0.003383,-0.004593,-0.013335,0.0044,-0.000075,-0.007263
259,0.002074,-0.002076,0.002424,0.004307,0.004503,0.015955,-0.008332,0.0055,0.002313
260,-0.013517,-0.015516,-0.010882,-0.019033,-0.007815,0.0068,-0.011861,-0.011115,-0.002056
261,0.010044,0.013495,0.012422,?,0.007123,-0.011634,0.006114,0.005403,0.001725
262,0.011098,?,0,0.00974,0.003398,-0.008342,0.007293,0.005296,0.002119
263,0.005597,0.002294,?,-0.021129,-0.016884,-0.002547,-0.02475,-0.017593,-0.009051
264,-0.003034,-0.013011,-0.019127,-0.01803,-0.015936,0.012116,-0.028707,-0.013777,-0.014856
265,-0.023857,-0.027453,-0.02239,-0.009028,-0.006035,?,-0.000755,-0.008199,-0.012385
266,0.005237,0.003952,0.004588,-0.011292,-0.008085,-0.007379,-0.010566,-0.007667,-0.004144
267,0.000672,-0.008489,-0.004212,0.006648,0.003151,?,0,0.003882,-0.017438
268,-0.004548,?,?,-0.004549,-0.01132,-0.007115,-0.006953,-0.010127,-0.007275
269,0.012852,0.01292,-0.011888,-0.018397,-0.013857,0.015698,0.007929,-0.012274,0.010577
270,-0.002191,-0.000908,-0.009878,0.012281,0.008283,-0.020983,-0.00284,0.010073,-0.006315
271,0.015892,0.015822,0.014165,0.008113,0.011288,0.000684,0.017731,0.00852,0.001817
272,-0.006838,-0.003184,0.01289,0.009711,0.006818,0.016142,0.008838,0.009227,0.001154
273,-0.001432,0.000667,-0.005489,-0.006602,-0.005733,0.0032,-0.000804,-0.005941,0.011541
274,-0.029575,-0.040104,-0.031636,-0.024784,-0.021901,-0.004658,-0.048467,-0.027519,-0.019774
275,?,-0.053827,0.002893,-0.018035,-0.015373,-0.029286,-0.018486,-0.021005,-0.02729
276,-0.030016,-0.031003,-0.008903,0.009252,0.006185,?,0.006195,0.00699,-0.00381
277,0.017725,0.02415,0.012956,0.002442,0.003822,-0.001903,0.024479,0.002813,0.012961
278,-0.005106,-0.002776,0.007399,0.006907,0.003944,0.015909,0.021568,0.005974,0.003337
279,0.01596,0.013763,0,-0.005877,0.005732,0,0,0.00052,0.011111
280,-0.006193,-0.009244,-0.002748,-0.000643,-0.003688,0,-0.004152,-0.003473,-0.002354
